Mach,Rayleigh_Pitot_P02_over_P1,Isentropic_P01_over_P1,P02_over_P01
3.76,18.67110383,109.7011399,0.170199725
3.77,18.76801266,111.2193142,0.168747783
3.78,18.86517937,112.7565289,0.167308976
3.79,18.96260395,114.3129924,0.165883191
3.8,19.06028639,115.888915,0.164470315
3.81,19.15822668,117.4845091,0.163070237
3.82,19.25642484,119.0999888,0.161682843
3.83,19.35488084,120.7355703,0.160308025
3.84,19.4535947,122.3914718,0.158945672
3.85,19.5525664,124.0679132,0.157595674
3.86,19.65179594,125.7651168,0.156257923
3.87,19.75128332,127.4833066,0.154932311
3.88,19.85102853,129.2227087,0.153618731
3.89,19.95103158,130.9835513,0.152317076
3.9,20.05129245,132.7660646,0.151027241
3.91,20.15181115,134.5704807,0.149749121
3.92,20.25258767,136.3970341,0.14848261
3.93,20.353622,138.2459611,0.147227607
3.94,20.45491415,140.1175003,0.145984007
3.95,20.55646412,142.0118924,0.144751709
3.96,20.65827189,143.92938,0.143530611
3.97,20.76033747,145.8702082,0.142320613
3.98,20.86266085,147.834624,0.141121615
3.99,20.96524203,149.8228766,0.139933517
4,21.068081,151.8352177,0.138756221
4.01,21.17117777,153.8719007,0.137589629
4.02,21.27453233,155.9331817,0.136433645
4.03,21.37814468,158.0193187,0.135288171
4.04,21.48201482,160.1305721,0.134153113
4.05,21.58614273,162.2672047,0.133028376
4.06,21.69052843,164.4294813,0.131913865
4.07,21.7951719,166.6176692,0.130809487
4.08,21.90007315,168.832038,0.12971515
4.09,22.00523217,171.0728595,0.128630761
4.1,22.11064896,173.340408,0.12755623
4.11,22.21632351,175.63496,0.126491466
4.12,22.32225583,177.9567947,0.125436378
4.13,22.42844591,180.3061934,0.124390879
4.14,22.53489375,182.6834397,0.12335488
4.15,22.64159935,185.0888201,0.122328293
4.16,22.7485627,187.5226231,0.121311031
4.17,22.85578381,189.9851398,0.120303008
4.18,22.96326266,192.4766639,0.119304139
4.19,23.07099926,194.9974915,0.118314339
4.2,23.17899361,197.5479211,0.117333523
4.21,23.28724569,200.1282538,0.116361609
4.22,23.39575552,202.7387934,0.115398514
4.23,23.50452309,205.3798461,0.114444156
4.24,23.6135484,208.0517206,0.113498453
4.25,23.72283143,210.7547284,0.112561325
4.26,23.8323722,213.4891835,0.111632692
4.27,23.9421707,216.2554025,0.110712474
4.28,24.05222693,219.0537046,0.109800594
4.29,24.16254088,221.8844118,0.108896973
4.3,24.27311256,224.7478488,0.108001535
4.31,24.38394196,227.6443428,0.107114201
4.32,24.49502908,230.5742239,0.106234898
4.33,24.60637391,233.5378247,0.105363548
4.34,24.71797646,236.5354808,0.104500079
4.35,24.82983673,239.5675306,0.103644416
4.36,24.94195471,242.6343149,0.102796485
4.37,25.05433039,245.7361776,0.101956214
4.38,25.16696379,248.8734655,0.101123532
4.39,25.27985489,252.046528,0.100298366
4.4,25.3930037,255.2557175,0.099480646
4.41,25.50641021,258.5013892,0.098670302
4.42,25.62007442,261.7839012,0.097867265
4.43,25.73399633,265.1036146,0.097071465
4.44,25.84817594,268.4608932,0.096282835
4.45,25.96261324,271.8561041,0.095501307
4.46,26.07730824,275.2896171,0.094726814
4.47,26.19226093,278.761805,0.093959289
4.48,26.30747132,282.2730436,0.093198667
4.49,26.42293939,285.8237119,0.092444882
4.5,26.53866515,289.4141917,0.091697871
4.51,26.65464859,293.0448681,0.090957568
4.52,26.77088972,296.716129,0.090223911
4.53,26.88738854,300.4283656,0.089496837
4.54,27.00414503,304.1819722,0.088776284
4.55,27.12115921,307.9773461,0.088062189
4.56,27.23843106,311.8148878,0.087354492
4.57,27.35596059,315.6950012,0.086653132
4.58,27.4737478,319.618093,0.085958049
4.59,27.59179268,323.5845735,0.085269184
4.6,27.71009523,327.5948559,0.084586478
4.61,27.82865546,331.6493569,0.083909873
4.62,27.94747335,335.7484963,0.083239311
4.63,28.06654891,339.8926974,0.082574734
4.64,28.18588214,344.0823864,0.081916085
4.65,28.30547304,348.3179934,0.08126331
4.66,28.4253216,352.5999514,0.080616351
4.67,28.54542782,356.9286969,0.079975155
